timestamp_started,timestamp_completed,trial_id,stimulus_id,stimulus_name,completed
1338066.6426001117,1465901.947000064,PRACTICE_1,13,Enc_WikiMoon,1
1465917.824300006,1549276.929799933,PRACTICE_2,7,Lit_NorthWind,1
1747399.3094000034,2086416.6359999217,1,11,Arg_PISARapaNui,1
2176093.182499986,2529934.4051999506,2,3,Ins_LearningMobility,1
2675937.2737999074,2916975.6829000544,3,4,Lit_Alchemist,1
2985212.7499000635,3387325.623899931,4,1,PopSci_MultiplEYE,1
3453451.1686998885,3693759.6557999495,5,2,Ins_HumanRights,1
4482826.31699997,4716830.049300101,6,12,PopSci_Caveman,1
4812288.100000005,5119622.348099947,7,9,Lit_BrokenApril,1
5167057.238599984,5521216.191400075,8,10,Arg_PISACowsMilk,1
5589529.040500056,5847133.201899938,9,6,Lit_MagicMountain,1
5941491.105600027,6359855.543300044,10,8,Lit_Solaris,1
