timestamp	message_type	message	data_path	data_name
2313.6342999059707	action	loading data	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
2353.8164999336004	action	preparing screens for stimulus 13	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	stimuli
2385.1652001030743	action	using question order version 6 for stimulus 13, trial 0	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\question_images_RO_RO_1\question_images_version_94\multipleye_comprehension_questions_RO_question_images_version_94_with_img_paths.csv	question order
2386.9022000581026	action	preparing screen for text 13 question 13121	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
2467.970099998638	action	preparing screen for text 13 question 13131	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
2546.928900061175	action	preparing screens for stimulus 7	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	stimuli
2563.108599977568	action	using question order version 8 for stimulus 7, trial 1	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\question_images_RO_RO_1\question_images_version_94\multipleye_comprehension_questions_RO_question_images_version_94_with_img_paths.csv	question order
2564.423399977386	action	preparing screen for text 7 question 7111	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
2643.1607000995427	action	preparing screen for text 7 question 7131	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
2720.091799972579	action	preparing screens for stimulus 11	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	stimuli
2900.5976000335068	action	using question order version 5 for stimulus 11, trial 2	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\question_images_RO_RO_1\question_images_version_94\multipleye_comprehension_questions_RO_question_images_version_94_with_img_paths.csv	question order
2901.847400004044	action	preparing screen for text 11 question 11111	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
2978.9770001079887	action	preparing screen for text 11 question 11212	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3060.2402999065816	action	preparing screen for text 11 question 11121	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3141.83280011639	action	preparing screen for text 11 question 11222	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3222.4636001046747	action	preparing screen for text 11 question 11232	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3303.3859999850392	action	preparing screen for text 11 question 11131	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3384.3871001154184	action	preparing screens for stimulus 3	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	stimuli
3512.4538000673056	action	using question order version 2 for stimulus 3, trial 3	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\question_images_RO_RO_1\question_images_version_94\multipleye_comprehension_questions_RO_question_images_version_94_with_img_paths.csv	question order
3515.1468000840396	action	preparing screen for text 3 question 3112	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3594.9474999215454	action	preparing screen for text 3 question 3111	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3675.101999891922	action	preparing screen for text 3 question 3121	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3756.735800066963	action	preparing screen for text 3 question 3122	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3839.5279000978917	action	preparing screen for text 3 question 3131	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
3920.1225999277085	action	preparing screen for text 3 question 3132	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
4003.175999969244	action	preparing screens for stimulus 4	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	stimuli
4073.003099998459	action	using question order version 1 for stimulus 4, trial 4	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\question_images_RO_RO_1\question_images_version_94\multipleye_comprehension_questions_RO_question_images_version_94_with_img_paths.csv	question order
4074.2124998942018	action	preparing screen for text 4 question 4111	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
4150.149499997497	action	preparing screen for text 4 question 4112	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
4226.803099969402	action	preparing screen for text 4 question 4121	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
