timestamp_started,timestamp_completed,trial_id,stimulus_id,stimulus_name,completed
146453.88160005677,291719.432999962,PRACTICE_1,13,Enc_WikiMoon,1
291733.1630999688,396840.8118999796,PRACTICE_2,7,Lit_NorthWind,1
453061.2234000582,1108634.9128000438,1,11,Arg_PISARapaNui,1
1420386.7950000567,2013673.4034999972,2,12,PopSci_Caveman,1
2394309.6653000684,3635656.6514000297,3,8,Lit_Solaris,1
3781085.288500064,4341284.933799994,4,6,Lit_MagicMountain,1
5353993.748900015,6010565.780899953,5,10,Arg_PISACowsMilk,1
6351821.210199967,6947671.075099963,6,9,Lit_BrokenApril,1
7098065.868100035,7603397.798500024,7,2,Ins_HumanRights,1
7895255.599200027,8498292.230900027,8,3,Ins_LearningMobility,1
8668608.885199994,9253645.998800058,9,1,PopSci_MultiplEYE,1
9493676.743800052,9826725.313700035,10,4,Lit_Alchemist,1
