time,screen,pupil,subject_id,stimulus_id,pixel
2363397,stimulus_Lit_NorthWind_7_page_1,1593.0,7,practice2,105.1
2363399,stimulus_Lit_NorthWind_7_page_1,1593.0,7,practice2,76.9
2363399,stimulus_Lit_NorthWind_7_page_1,1593.0,7,practice2,105.0
2363401,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,76.7
2363401,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,104.9
2363403,stimulus_Lit_NorthWind_7_page_1,1591.0,7,practice2,76.9
2363403,stimulus_Lit_NorthWind_7_page_1,1591.0,7,practice2,104.8
2363405,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,76.8
2363405,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,105.0
2363407,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,76.9
2363407,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,105.0
2363409,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,77.1
2363409,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,104.9
2363411,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,76.9
2363411,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,104.9
2363413,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,76.8
2363413,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,105.3
2363415,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,76.8
2363415,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,105.7
2363417,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,76.7
2363417,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,105.8
2363419,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,76.7
2363419,stimulus_Lit_NorthWind_7_page_1,1599.0,7,practice2,105.5
2363421,stimulus_Lit_NorthWind_7_page_1,1597.0,7,practice2,76.5
2363421,stimulus_Lit_NorthWind_7_page_1,1597.0,7,practice2,105.6
2363423,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,76.9
2363423,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,105.8
2363425,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,77.2
2363425,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,105.9
2363427,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,76.9
2363427,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,105.6
2363429,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,76.8
2363429,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,105.2
2363431,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,76.9
2363431,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,105.2
2363433,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,77.0
2363433,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,106.0
2363435,stimulus_Lit_NorthWind_7_page_1,1593.0,7,practice2,77.0
2363435,stimulus_Lit_NorthWind_7_page_1,1593.0,7,practice2,105.8
2363437,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,77.0
2363437,stimulus_Lit_NorthWind_7_page_1,1600.0,7,practice2,105.6
2363439,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,77.0
2363439,stimulus_Lit_NorthWind_7_page_1,1601.0,7,practice2,105.6
2363441,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,77.0
2363441,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,105.4
2363443,stimulus_Lit_NorthWind_7_page_1,1597.0,7,practice2,77.2
2363443,stimulus_Lit_NorthWind_7_page_1,1597.0,7,practice2,105.2
