timestamp_started,timestamp_completed,trial_id,stimulus_id,stimulus_name,completed
1419648.6501999898,1560860.9010000073,PRACTICE_1,13,Enc_WikiMoon,1
1560883.6616000044,1640061.5651000116,PRACTICE_2,7,Lit_NorthWind,1
1865383.8879000104,2278667.231800006,1,9,Lit_BrokenApril,1
2556633.664099994,2852512.4914000044,2,12,PopSci_Caveman,1
3040075.8425999954,3450684.9404000095,3,10,Arg_PISACowsMilk,1
3630600.2930999966,3962397.957600013,4,11,Arg_PISARapaNui,1
4252159.785900003,4478860.829200014,5,4,Lit_Alchemist,1
5194357.861900004,5628271.426499995,6,3,Ins_LearningMobility,1
5881127.319799998,6254302.820700017,7,6,Lit_MagicMountain,1
6500001.739300001,6964816.826399998,8,1,PopSci_MultiplEYE,1
7149363.713600003,7704142.552300007,9,8,Lit_Solaris,1
8330003.144899994,8640426.741100002,10,2,Ins_HumanRights,1
