timestamp	trial_number	stimulus_number	page_number	screen_onset_timestamp	keypress_timestamp	key_pressed	question	answer_correct	message
13647.567700012587	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATE:2025-05-12
13650.370499992277	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** EXP_START_TIMESTAMP:1747049096
13651.191899989499	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_ID:1
13652.680700004566	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** PARTICIPANT_ID:008
13653.494199999841	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATASET_TYPE:pilot_sessions
13654.047000018181	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_MODE:pilot
850037.1621999948	<NA>	<NA>	instruction_screen_1	833674.8157000111	850037.1539999906	space	False	<NA>	stop showing: instruction_screen_1
883428.6798000103	<NA>	<NA>	instruction_screen_2	850053.3633000159	883428.6718000076	space	False	<NA>	stop showing: instruction_screen_2
901061.0733999929	<NA>	<NA>	instruction_screen_3	883448.321200005	901061.0669000016	space	False	<NA>	stop showing: instruction_screen_3
1419636.8124000146	<NA>	<NA>	practice_start_screen	1407476.6909000173	space	1419636.803100002	False	<NA>	stop showing: practice_start_screen
1441572.8223999904	1	13	1	1424272.1467000083	1441572.7507999982	space	False	<NA>	showing: Enc_WikiMoon
1482436.901100009	1	13	2	1447665.9698000003	1482436.8320000067	space	False	<NA>	showing: Enc_WikiMoon
1493285.180100007	1	<NA>	familiarity_rating_screen_1	1483315.6286000158	1493285.123700014	option_2	False	<NA>	rating screen: familiarity_rating_screen_1
1501557.0335999946	1	<NA>	familiarity_rating_screen_2	1493298.9548000041	1501556.9674000144	option_3	False	<NA>	rating screen: familiarity_rating_screen_2
1511188.8191000035	1	<NA>	subject_difficulty_screen	1501572.006900009	1511188.7589000107	option_3	False	<NA>	rating screen: subject_difficulty_screen
1543943.7322000158	1	13	13121	1543943.7266000023	1543940.9494000138	down	True	False	preliminary answer: distractor_c_key
1545524.7343000083	1	13	13121	1543943.7266000023	1545524.7254999995	space	True	False	preliminary answer: final_confirmation
1545525.9462000104	1	13	13121	1511215.287500003	1545524.7254999995	down	True	False	FINAL ANSWER: correct answer is 'up' (Luna are o perioadă de rotație egală cu timpul necesar pentru a orbita în jurul Pământului.), participant's answer is False
1559127.7913000085	1	13	13131	1559127.7857999958	1559124.8319000006	right	True	True	preliminary answer: target_key
1560340.841199999	1	13	13131	1559127.7857999958	1560340.8327999932	space	True	True	preliminary answer: final_confirmation
1560351.0644999915	1	13	13131	1545529.9456999928	1560340.8327999932	right	True	True	FINAL ANSWER: correct answer is 'right' (Deoarece este singurul satelit al Pământului și exercită o forță gravitațională.), participant's answer is True
1599556.9381999958	2	7	1	1563594.8849999986	1599556.8790000107	space	False	<NA>	showing: Lit_NorthWind
1603636.9028000045	2	<NA>	familiarity_rating_screen_1	1600435.7907999947	1603636.8391000142	option_2	False	<NA>	rating screen: familiarity_rating_screen_1
1620516.8885000166	2	<NA>	familiarity_rating_screen_2	1603651.4058000175	1620516.8271000148	option_1	False	<NA>	rating screen: familiarity_rating_screen_2
1624692.9490000184	2	<NA>	subject_difficulty_screen	1620530.9260000067	1624692.8792000108	option_2	False	<NA>	rating screen: subject_difficulty_screen
1630471.6839000175	2	7	7111	1630471.6757000133	1630468.820500013	down	True	False	preliminary answer: distractor_c_key
1631240.18719999	2	7	7111	1631240.1804999972	1631237.044300011	up	True	False	preliminary answer: distractor_a_key
1631880.919599993	2	7	7111	1631880.9089999995	1631877.0251999958	down	True	False	preliminary answer: distractor_c_key
1632359.5604000147	2	7	7111	1632359.554499999	1632356.664699997	left	True	True	preliminary answer: target_key
1633684.912800003	2	7	7111	1632359.554499999	1633684.9001999944	space	True	True	preliminary answer: final_confirmation
1633694.6790000075	2	7	7111	1624706.3643000147	1633684.9001999944	left	True	True	FINAL ANSWER: correct answer is 'left' (Călătorul purta o haină groasă.), participant's answer is True
1638023.9272000035	2	7	7131	1638023.9205000107	1638020.7783000078	up	True	True	preliminary answer: target_key
1639541.0751000163	2	7	7131	1638023.9205000107	1639541.0646999953	space	True	True	preliminary answer: final_confirmation
1639552.4967999954	2	7	7131	1633698.4886999999	1639541.0646999953	up	True	True	FINAL ANSWER: correct answer is 'up' (O fabulă.), participant's answer is True
1669540.9033999895	<NA>	<NA>	transition_screen	1640084.931999998	space	1669540.892799996	False	<NA>	stop showing: transition_screen
1673940.8234000148	<NA>	<NA>	<NA>	1669555.0150999916	1673940.814600006	space	False	<NA>	stop showing: validation_screen
1900629.3943999917	1	9	1	1869524.287200009	1900629.3335999944	space	False	<NA>	showing: Lit_BrokenApril
1933109.0795999917	1	9	2	1907617.9854999937	1933109.0066999895	space	False	<NA>	showing: Lit_BrokenApril
1955893.2978000084	1	9	3	1938839.8959999904	1955893.2345999929	space	False	<NA>	showing: Lit_BrokenApril
1979093.8938000181	1	9	4	1960741.3150999928	1979093.7982000178	space	False	<NA>	showing: Lit_BrokenApril
2004213.1057000079	1	9	5	1986885.961699998	2004213.0450000113	space	False	<NA>	showing: Lit_BrokenApril
2018821.1996000027	1	9	6	2007439.05429999	2018821.1276000075	space	False	<NA>	showing: Lit_BrokenApril
2038197.1443000075	1	9	7	2022301.9417999894	2038197.0460000157	space	False	<NA>	showing: Lit_BrokenApril
2058053.1466999964	1	9	8	2045203.7362999981	2058053.0858999991	space	False	<NA>	showing: Lit_BrokenApril
2079685.1001000032	1	9	9	2061668.2796000096	2079685.0341999962	space	False	<NA>	showing: Lit_BrokenApril
2098485.1723000174	1	9	10	2085078.2182000112	2098485.112499999	space	False	<NA>	showing: Lit_BrokenApril
2101765.2529999902	1	<NA>	familiarity_rating_screen_1	2099356.178100017	2101765.180100017	option_2	False	<NA>	rating screen: familiarity_rating_screen_1
2106149.2032000097	1	<NA>	familiarity_rating_screen_2	2101779.5895000165	2106149.1367999986	option_1	False	<NA>	rating screen: familiarity_rating_screen_2
2115573.2157000164	1	<NA>	subject_difficulty_screen	2106163.6546000084	2115573.155399994	option_2	False	<NA>	rating screen: subject_difficulty_screen
