stimulus,mode,loss,r2,pearson,spearman,accuracy
pisacowsmilk,scalar,0.4718210995197296,-0.17222046852111816,0.6564692058722399,0.6669948773980457,92.88059425354004
pisarapanui,scalar,0.37093737721443176,0.4472828507423401,0.6760842265265863,0.6575111449882779,95.32957553863525
wikimoon,scalar,0.8066020607948303,0.14381390810012817,0.5123248324318643,0.6619922318717787,88.39802074432373
humanrights,scalar,0.7259507775306702,0.43972623348236084,0.7116835503834884,0.783850211518933,80.33305931091309
learningmobility,scalar,0.5497015118598938,0.44093477725982666,0.6754782024504462,0.7515425033914629,87.7738790512085
alchemist,scalar,0.41954687237739563,0.4224841594696045,0.653973322832049,0.7004778208059592,82.86721992492676
brokenapril,scalar,0.6829743981361389,0.4086127281188965,0.7025995623751845,0.7638218203748622,82.39764785766602
magicmountain,scalar,0.6453486680984497,0.3817858099937439,0.6617115795258728,0.7119341627003682,80.65904998779297
northwind,scalar,0.25891342759132385,0.5244543552398682,0.725118279223788,0.775260178722453,85.62726593017578
solaris,scalar,1.4719876050949097,0.3195997476577759,0.6305220861604086,0.7324489130748191,82.86120986938477
caveman,scalar,0.3608162999153137,0.5132166743278503,0.7187536940611888,0.7157075872565356,89.28331661224365
multipleye,scalar,0.39504361152648926,0.33408206701278687,0.6911965805542534,0.7486876057539443,83.49330139160156
pisacowsmilk,embedding,0.4569811224937439,-0.13535118103027344,0.5730983830740507,0.627768178985894,83.46963882446289
pisarapanui,embedding,0.6134079098701477,0.08598864078521729,0.5241373604167873,0.6274221128374149,79.32262992858887
wikimoon,embedding,0.6154857277870178,0.3466787338256836,0.6057690052876604,0.6501522078016246,82.35507011413574
humanrights,embedding,0.7474892139434814,0.423103392124176,0.6633146147443224,0.7405170393027563,83.76734161376953
learningmobility,embedding,0.605339527130127,0.38434910774230957,0.6362330674207951,0.7234796693488991,83.08878326416016
alchemist,embedding,0.4799704849720001,0.3393096923828125,0.5856530078449285,0.6588178769082728,74.0059757232666
brokenapril,embedding,0.6732068061828613,0.4170703887939453,0.6732407696097891,0.7426030810024504,84.6045389175415
magicmountain,embedding,0.6471444964408875,0.38006556034088135,0.618115938369262,0.6836477495756026,85.59834480285645
northwind,embedding,0.2805524170398712,0.48471009731292725,0.7127140150371336,0.7572075535357138,89.41145896911621
solaris,embedding,1.4304965734481812,0.33877819776535034,0.633651537951845,0.7177598403551306,76.52078819274902
caveman,embedding,0.4311813414096832,0.4182860851287842,0.6553997722685455,0.7062582857127676,85.21894645690918
multipleye,embedding,0.4309350252151489,0.2735806703567505,0.6447256283554694,0.7118330530298385,84.61384773254395
pisacowsmilk,combined,0.42384469509124756,-0.053024888038635254,0.5951759045468098,0.6368340298956601,80.0384349822998
pisarapanui,combined,0.5135266184806824,0.23481708765029907,0.5801117863447356,0.6299875035753988,84.74193477630615
wikimoon,combined,0.601008415222168,0.36204594373703003,0.6211387121558637,0.6550696861530332,89.50870704650879
humanrights,combined,0.6868802905082703,0.46988004446029663,0.687861844428534,0.7534644256556582,84.4558277130127
learningmobility,combined,0.5829641819000244,0.4071056842803955,0.6425589095166128,0.72413481671721,86.16199684143066
alchemist,combined,0.49620485305786133,0.31696265935897827,0.5830733561347882,0.6631041583666303,82.71310424804688
brokenapril,combined,0.6665387153625488,0.4228443503379822,0.6736329869109341,0.7373013790425093,78.84591484069824
magicmountain,combined,0.6589606404304504,0.36874616146087646,0.6140345538310316,0.6757790328267803,75.77483367919922
northwind,combined,0.2801346480846405,0.4854773283004761,0.7041133329769972,0.7635988065812704,86.49538993835449
solaris,combined,1.3553982973098755,0.373491108417511,0.6375754205525165,0.719876263566858,83.85152053833008
caveman,combined,0.39650338888168335,0.4650706648826599,0.7000390321273242,0.7179215567897583,87.0330228805542
multipleye,combined,0.3867860436439514,0.34800171852111816,0.6858288386532613,0.734035126208531,82.91791915893555
