timestamp	trial_number	stimulus_number	page_number	screen_onset_timestamp	keypress_timestamp	key_pressed	question	answer_correct	message
24852.417399990372	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATE:2025-05-26
24853.382400004193	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** EXP_START_TIMESTAMP:1748258353
24854.230800061487	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_ID:1
24855.055800057016	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** PARTICIPANT_ID:010
24855.77720007859	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** DATASET_TYPE:pilot_sessions
24856.333500007167	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	<NA>	*** SESSION_MODE:pilot
216976.31659999024	<NA>	<NA>	instruction_screen_1	209075.54099999834	216976.31040005945	space	False	<NA>	stop showing: instruction_screen_1
242240.2641000226	<NA>	<NA>	instruction_screen_2	216991.30700004753	242240.25750008877	space	False	<NA>	stop showing: instruction_screen_2
258864.56960008945	<NA>	<NA>	instruction_screen_3	242252.42460006848	258864.55970001407	space	False	<NA>	stop showing: instruction_screen_3
490112.7403000137	<NA>	<NA>	practice_start_screen	474296.4465999976	space	490112.7309000585	False	<NA>	stop showing: practice_start_screen
507984.3452000059	1	13	1	493551.0161999846	507984.2746000504	space	False	<NA>	showing: Enc_WikiMoon
556720.4871000722	1	13	2	531660.2853999939	556720.4244000604	space	False	<NA>	showing: Enc_WikiMoon
567120.4938000301	1	<NA>	familiarity_rating_screen_1	557601.8500000937	567120.4469000222	option_2	False	<NA>	rating screen: familiarity_rating_screen_1
578096.3292000815	1	<NA>	familiarity_rating_screen_2	567136.5809000563	578096.2761000264	option_3	False	<NA>	rating screen: familiarity_rating_screen_2
585072.6037999848	1	<NA>	subject_difficulty_screen	578101.923200069	585072.5483000278	option_2	False	<NA>	rating screen: subject_difficulty_screen
591715.7223999966	1	13	13121	591715.7168000704	591712.8394000465	left	True	False	preliminary answer: distractor_a_key
592388.1758000934	1	13	13121	592388.1674000295	592385.4311000323	right	True	False	preliminary answer: distractor_b_key
595875.0740999822	1	13	13121	595875.0673000468	595872.1989000915	down	True	True	preliminary answer: target_key
602896.3006000267	1	13	13121	595875.0673000468	602896.2928000838	space	True	True	preliminary answer: final_confirmation
602906.9836999988	1	13	13121	585103.4564999864	602896.2928000838	down	True	True	FINAL ANSWER: correct answer is 'down' (Luna are o perioadă de rotație egală cu timpul necesar pentru a orbita în jurul Pământului.), participant's answer is True
609811.2337000202	1	13	13131	609811.2263000803	609808.2717000507	left	True	False	preliminary answer: distractor_b_key
610099.8401000397	1	13	13131	610099.8036999954	610096.3194000069	right	True	False	preliminary answer: distractor_c_key
610323.3872000128	1	13	13131	610323.3804000774	610320.4499999993	down	True	True	preliminary answer: target_key
612112.4039000133	1	13	13131	610323.3804000774	612112.3957000673	space	True	True	preliminary answer: final_confirmation
