timestamp	message_type	message	data_path	data_name
15003.003400051966	action	preparing screen for text 2 question 2132	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
15153.955199988559	action	preparing screens for stimulus 1	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	stimuli
15417.584800045006	action	using question order version 2 for stimulus 1, trial 4	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\question_images_RO_RO_1\question_images_version_203\multipleye_comprehension_questions_RO_question_images_version_203_with_img_paths.csv	question order
15419.516800087877	action	preparing screen for text 1 question 1112	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
15544.40680006519	action	preparing screen for text 1 question 1111	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
15654.153099982068	action	preparing screen for text 1 question 1121	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
15764.549000072293	action	preparing screen for text 1 question 1122	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
15868.385400041007	action	preparing screen for text 1 question 1131	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
15971.245000022464	action	preparing screen for text 1 question 1132	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	
16068.585100001656	action	preparing screens for stimulus 11	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_stimuli_experiment_RO_RO_1_with_img_paths.csv	stimuli
16376.356600085273	action	using question order version 2 for stimulus 11, trial 5	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\question_images_RO_RO_1\question_images_version_203\multipleye_comprehension_questions_RO_question_images_version_203_with_img_paths.csv	question order
