timestamp_started,timestamp_completed,trial_id,stimulus_id,stimulus_name,completed
490124.3747000117,612628.9473000215,PRACTICE_1,13,Enc_WikiMoon,1
612645.0369000668,676679.7507000156,PRACTICE_2,7,Lit_NorthWind,1
899948.2776999939,1300039.8653000593,1,3,Ins_LearningMobility,1
1419062.8919000737,1707097.0049999887,2,2,Ins_HumanRights,1
1897080.0839000149,2343355.0258000614,3,1,PopSci_MultiplEYE,1
2649295.594800031,3102373.8841000013,4,11,Arg_PISARapaNui,1
3311850.362200057,3554808.7237,5,4,Lit_Alchemist,1
4046743.208100088,4320208.925800049,6,12,PopSci_Caveman,1
4410386.010300019,4901978.350399993,7,8,Lit_Solaris,1
5074058.540400001,5364795.3632000135,8,6,Lit_MagicMountain,1
5452013.02110008,5791832.086600014,9,9,Lit_BrokenApril,1
6362704.527900089,6758616.943400004,10,10,Arg_PISACowsMilk,1
